date,AAPL,SPY
2023-08-16,174.3639678955078,423.548583984375
2023-08-17,171.82611083984375,420.3211975097656
2023-08-18,172.30996704101562,420.5234375
2023-08-21,173.6431427001953,423.259521484375
2023-08-22,175.0157470703125,422.1130981445313
2023-08-23,178.8571319580078,426.8144836425781
2023-08-24,174.17637634277344,420.8992309570313
2023-08-25,176.3784942626953,423.866455078125
2023-08-28,177.93878173828125,426.5543518066406
2023-08-29,181.81964111328125,432.72015380859375
2023-08-30,185.30555725097656,434.5024108886719
2023-08-31,185.52279663085935,433.8664855957031
2023-09-01,187.09292602539065,434.67584228515625
2023-09-05,187.32994079589844,432.7972106933594
2023-09-06,180.6248016357422,429.8876953125
2023-09-07,175.3416290283203,428.5679016113281
2023-09-08,175.95388793945312,429.21337890625
2023-09-11,177.11912536621094,432.0361022949219
2023-09-12,174.09738159179688,429.6661682128906
2023-09-13,172.03347778320312,430.1671142578125
2023-09-14,173.54437255859375,433.8761291503906
2023-09-15,172.82347106933594,428.6487121582031
2023-09-18,175.7465057373047,428.9001159667969
2023-09-19,176.832763671875,428.0105895996094
2023-09-20,173.2974853515625,424.0758056640625
2023-09-21,171.7569580078125,417.0664978027344
2023-09-22,172.60621643066406,416.1286926269531
2023-09-25,173.8800811767578,417.8785705566406
2023-09-26,169.81158447265625,411.7394409179687
2023-09-27,168.30068969726562,411.90380859375
2023-09-28,168.55746459960938,414.2916870117187
2023-09-29,169.07095336914062,413.2863464355469
2023-10-02,171.57920837402344,413.12200927734375
2023-10-03,170.24606323242188,407.5918884277344
2023-10-04,171.4903564453125,410.5599670410156
2023-10-05,172.7247314453125,410.40521240234375
2023-10-06,175.2725067138672,415.2779541015625
2023-10-09,176.75376892089844,417.93658447265625
2023-10-10,176.16123962402344,420.1119079589844
2023-10-11,177.5536346435547,421.832763671875
2023-10-12,178.45225524902344,419.2611083984375
2023-10-13,176.6155242919922,417.1728820800781
2023-10-16,176.4871368408203,421.5620422363281
2023-10-17,174.93673706054688,421.542724609375
2023-10-18,173.6431427001953,415.9256591796875
2023-10-19,173.2678680419922,412.2712097167969
2023-10-20,170.7200927734375,407.2051696777344
2023-10-23,170.8385772705078,406.4993896484375
2023-10-24,171.2731170654297,409.5641479492187
2023-10-25,168.96234130859375,403.68597412109375
2023-10-26,164.80494689941406,398.8520202636719
2023-10-27,166.11831665039062,397.0440979003906
2023-10-30,168.16246032714844,401.7911071777344
2023-10-31,168.636474609375,404.314453125
2023-11-01,171.79649353027344,408.6263122558594
2023-11-02,175.3514862060547,416.4573974609375
2023-11-03,174.4429931640625,420.2569274902344
2023-11-06,176.99073791503906,421.2237243652344
2023-11-07,179.5484161376953,422.4225463867187
2023-11-08,180.6050262451172,422.7319030761719
2023-11-09,180.1310272216797,419.4351501464844
2023-11-10,184.3136749267578,425.9803161621094
2023-11-13,182.73158264160156,425.5743103027344
2023-11-14,185.342041015625,433.8307495117187
2023-11-15,185.90565490722656,434.7491760253906
2023-11-16,187.5866546630859,435.2809753417969
2023-11-17,187.56687927246097,435.8223876953125
2023-11-20,189.3071746826172,439.1770629882813
2023-11-21,188.50624084472656,438.219970703125
2023-11-22,189.16873168945312,439.9118957519531
2023-11-24,187.84373474121097,440.18255615234375
2023-11-27,187.66571044921875,439.3898315429687
2023-11-28,188.26889038085935,439.8248901367187
2023-11-29,187.2504425048828,439.5154724121094
2023-11-30,187.8239288330078,441.2460632324219
2023-12-01,189.0995178222656,443.85638427734375
2023-12-04,187.3097381591797,441.5264587402344
2023-12-05,191.2551116943359,441.4394226074219
2023-12-06,190.16741943359375,439.6605224609375
2023-12-07,192.0955810546875,443.015380859375
2023-12-08,193.51947021484375,444.9199523925781
2023-12-11,191.0178070068359,446.65045166015625
2023-12-12,192.5306854248047,448.6903991699219
2023-12-13,195.74429321289065,454.8778991699219
2023-12-14,195.89260864257812,456.3377685546875
2023-12-15,195.3586578369141,455.58642578125
2023-12-18,193.6974639892578,458.1491088867187
2023-12-19,194.7357177734375,460.93505859375
2023-12-20,192.6493225097656,454.54779052734375
2023-12-21,192.50099182128903,458.8577575683594
2023-12-22,191.43309020996097,459.7799072265625
2023-12-26,190.88926696777344,461.7213134765625
2023-12-27,190.9881134033203,462.55621337890625
2023-12-28,191.413330078125,462.7308654785156
2023-12-29,190.3750762939453,461.391357421875
2024-01-02,183.56219482421875,458.8092041015625
2024-01-03,182.1877288818359,455.0623168945313
2024-01-04,179.87391662597656,453.596435546875
2024-01-05,179.15211486816406,454.2178039550781
2024-01-08,183.4830780029297,460.7021484375
2024-01-09,183.0677795410156,460.0031433105469
2024-01-10,184.1060333251953,462.6046752929687
2024-01-11,183.51272583007812,462.4009094238281
2024-01-12,183.83905029296875,462.7211608886719
2024-01-16,181.57467651367188,461.0224609375
2024-01-17,180.63531494140625,458.4597778320313
2024-01-18,186.5187225341797,462.5367736816406
2024-01-19,189.4159240722656,468.3028564453125
